,index,Pearson correlation,Gene,Slide,Method
372,YWHAQ,0.1427956064962146,YWHAQ,block1,Hist2ST
373,RRM2,0.220775683153386,RRM2,block1,Hist2ST
374,ODC1,0.1247853507510869,ODC1,block1,Hist2ST
375,TRIB2,0.2339483336413865,TRIB2,block1,Hist2ST
376,DDX1,0.1710682102100992,DDX1,block1,Hist2ST
377,SMC6,0.1219353399432278,SMC6,block1,Hist2ST
378,EIF2AK2,0.105917309796111,EIF2AK2,block1,Hist2ST
379,CEBPZ,0.1008201806479992,CEBPZ,block1,Hist2ST
380,HNRNPLL,0.1406267623329584,HNRNPLL,block1,Hist2ST
381,SRSF7,0.1966149033897596,SRSF7,block1,Hist2ST
382,PKDCC,0.0266109503545255,PKDCC,block1,Hist2ST
383,EPAS1,0.1040545625242776,EPAS1,block1,Hist2ST
384,EPCAM,0.2056302132510509,EPCAM,block1,Hist2ST
385,MSH2,0.1425033245267303,MSH2,block1,Hist2ST
386,MTIF2,0.1375859862480299,MTIF2,block1,Hist2ST
387,COMMD1,0.15259195853811,COMMD1,block1,Hist2ST
388,VPS54,0.1053854453375442,VPS54,block1,Hist2ST
389,ANTXR1,0.069380974325118,ANTXR1,block1,Hist2ST
390,SNRPG,0.201917454542945,SNRPG,block1,Hist2ST
391,MPHOSPH10,0.1152329753211382,MPHOSPH10,block1,Hist2ST
392,ZNF638,0.1770880878332458,ZNF638,block1,Hist2ST
393,BOLA3,0.2194253873897771,BOLA3,block1,Hist2ST
394,COA5,0.2031114926849798,COA5,block1,Hist2ST
395,UNC50,0.0902834378535124,UNC50,block1,Hist2ST
396,MGAT4A,0.0860538709780023,MGAT4A,block1,Hist2ST
397,EIF5B,0.0171820007214854,EIF5B,block1,Hist2ST
398,REV1,0.116203284719215,REV1,block1,Hist2ST
399,FHL2,0.1429402404040872,FHL2,block1,Hist2ST
400,GCC2,0.0215463925042574,GCC2,block1,Hist2ST
401,LIMS1,0.0785852526533407,LIMS1,block1,Hist2ST
402,RANBP2,0.1438918136495267,RANBP2,block1,Hist2ST
403,SOWAHC,0.0890852543637674,SOWAHC,block1,Hist2ST
404,IL1RN,0.0688948261648052,IL1RN,block1,Hist2ST
405,NIFK,0.1309477470752761,NIFK,block1,Hist2ST
406,IWS1,0.1249692979321173,IWS1,block1,Hist2ST
407,HS6ST1,0.1036306972681846,HS6ST1,block1,Hist2ST
408,CXCR4,0.1073064908475593,CXCR4,block1,Hist2ST
409,KYNU,0.0351614568369651,KYNU,block1,Hist2ST
410,TANC1,0.1011937491630731,TANC1,block1,Hist2ST
411,ITGB6,0.0643517128986541,ITGB6,block1,Hist2ST
412,FAP,0.0864748141455841,FAP,block1,Hist2ST
413,ITGA6,0.065201090626159,ITGA6,block1,Hist2ST
414,COL3A1,0.1962023175135598,COL3A1,block1,Hist2ST
415,COL5A2,0.1532106341837106,COL5A2,block1,Hist2ST
416,WDR75,0.1256916761351283,WDR75,block1,Hist2ST
417,SLC40A1,0.0777818575632402,SLC40A1,block1,Hist2ST
418,ASNSD1,0.0917721570159833,ASNSD1,block1,Hist2ST
419,ORMDL1,0.1621796839190329,ORMDL1,block1,Hist2ST
420,PMS1,0.036976241892322,PMS1,block1,Hist2ST
421,STAT1,0.0674954640033954,STAT1,block1,Hist2ST
422,SPATS2L,0.0775154784741515,SPATS2L,block1,Hist2ST
423,TMEM237,0.0641641527582346,TMEM237,block1,Hist2ST
424,FASTKD2,0.1414288972816745,FASTKD2,block1,Hist2ST
425,FN1,0.2226026242028947,FN1,block1,Hist2ST
426,SP110,0.153624104131539,SP110,block1,Hist2ST
427,EFHD1,0.1670840119626544,EFHD1,block1,Hist2ST
