,Pearson correlation,Gene,Slide,Method
LIMS1,0.07135115946082762,LIMS1,block2,Hist2ST
RANBP2,0.16363750224783694,RANBP2,block2,Hist2ST
SOWAHC,0.06236468362454716,SOWAHC,block2,Hist2ST
IL1RN,0.030540455709037777,IL1RN,block2,Hist2ST
NIFK,0.19014023624307297,NIFK,block2,Hist2ST
IWS1,0.14764429187901526,IWS1,block2,Hist2ST
HS6ST1,0.13371057006497902,HS6ST1,block2,Hist2ST
CXCR4,0.12900998901219182,CXCR4,block2,Hist2ST
KYNU,0.0640864929359424,KYNU,block2,Hist2ST
TANC1,0.11111523522338723,TANC1,block2,Hist2ST
ITGB6,0.08591580688725724,ITGB6,block2,Hist2ST
FAP,0.03193369874175595,FAP,block2,Hist2ST
ITGA6,0.032683413798928966,ITGA6,block2,Hist2ST
COL3A1,0.1632437013479712,COL3A1,block2,Hist2ST
COL5A2,0.08646025185461007,COL5A2,block2,Hist2ST
WDR75,0.10392810825604448,WDR75,block2,Hist2ST
SLC40A1,0.11438117375578594,SLC40A1,block2,Hist2ST
ASNSD1,0.16811044192598634,ASNSD1,block2,Hist2ST
ORMDL1,0.18219107061507503,ORMDL1,block2,Hist2ST
PMS1,0.100671057166215,PMS1,block2,Hist2ST
STAT1,0.18658505414065665,STAT1,block2,Hist2ST
SPATS2L,0.06678137128189578,SPATS2L,block2,Hist2ST
TMEM237,0.07759707838369073,TMEM237,block2,Hist2ST
FASTKD2,0.15822254880900477,FASTKD2,block2,Hist2ST
FN1,0.153085158506092,FN1,block2,Hist2ST
SP110,0.23794015421801668,SP110,block2,Hist2ST
EFHD1,0.19311401456678734,EFHD1,block2,Hist2ST
GPCPD1,0.12291212873839812,GPCPD1,block2,Hist2ST
NAA20,0.3032140146721245,NAA20,block2,Hist2ST
SAMHD1,0.089657148854598,SAMHD1,block2,Hist2ST
SLPI,0.04129179002969864,SLPI,block2,Hist2ST
SLC2A10,0.2508488993482317,SLC2A10,block2,Hist2ST
SULF2,0.0748602317011872,SULF2,block2,Hist2ST
PREX1,0.15068673183129075,PREX1,block2,Hist2ST
ZNFX1,0.1565706449181752,ZNFX1,block2,Hist2ST
PFDN4,0.24456356488607695,PFDN4,block2,Hist2ST
BMP7,-0.018562254956411044,BMP7,block2,Hist2ST
LAMA5,0.19621611565659375,LAMA5,block2,Hist2ST
EEF1A2,0.08092816290022178,EEF1A2,block2,Hist2ST
HELZ2,0.19902332605829193,HELZ2,block2,Hist2ST
STMN3,0.06316642063569987,STMN3,block2,Hist2ST
CXADR,0.1432195259204631,CXADR,block2,Hist2ST
ADAMTS1,0.10086696454132194,ADAMTS1,block2,Hist2ST
CCT8,0.27328228432176066,CCT8,block2,Hist2ST
MIS18A,0.14956687958616957,MIS18A,block2,Hist2ST
MX1,0.11900647030135238,MX1,block2,Hist2ST
TFF3,-0.09297347138666823,TFF3,block2,Hist2ST
TRPM2,-0.031718692854131286,TRPM2,block2,Hist2ST
SUMO3,0.20785347055679154,SUMO3,block2,Hist2ST
PTTG1IP,0.20160641466831106,PTTG1IP,block2,Hist2ST
FAM207A,0.10723967214781804,FAM207A,block2,Hist2ST
SPATC1L,0.12455421398091006,SPATC1L,block2,Hist2ST
