,Pearson correlation,Gene,Slide,Method
IWS1,0.06601936199140135,IWS1,1142243F,HisToGene
HS6ST1,0.05566713815215477,HS6ST1,1142243F,HisToGene
CXCR4,0.04853401646256284,CXCR4,1142243F,HisToGene
KYNU,0.03624798991865063,KYNU,1142243F,HisToGene
TANC1,0.04185671801779457,TANC1,1142243F,HisToGene
ITGB6,0.041835971470642754,ITGB6,1142243F,HisToGene
FAP,0.09278367561360382,FAP,1142243F,HisToGene
ITGA6,0.05489874765283488,ITGA6,1142243F,HisToGene
COL3A1,0.14745326495023742,COL3A1,1142243F,HisToGene
COL5A2,0.09453820817755476,COL5A2,1142243F,HisToGene
WDR75,0.06261359801590576,WDR75,1142243F,HisToGene
SLC40A1,0.08824351451877714,SLC40A1,1142243F,HisToGene
ASNSD1,0.06755341454567632,ASNSD1,1142243F,HisToGene
ORMDL1,0.071136738851211,ORMDL1,1142243F,HisToGene
PMS1,0.06302275500399276,PMS1,1142243F,HisToGene
STAT1,0.039724867695482474,STAT1,1142243F,HisToGene
SPATS2L,0.06695312898176789,SPATS2L,1142243F,HisToGene
TMEM237,0.05681112696211833,TMEM237,1142243F,HisToGene
FASTKD2,0.04861033756315855,FASTKD2,1142243F,HisToGene
FN1,0.20936602306621815,FN1,1142243F,HisToGene
SP110,0.04813377926220637,SP110,1142243F,HisToGene
EFHD1,0.041320336418909975,EFHD1,1142243F,HisToGene
GPCPD1,-0.01006835104728346,GPCPD1,1142243F,HisToGene
NAA20,0.058643636639016034,NAA20,1142243F,HisToGene
SAMHD1,0.20364092234703032,SAMHD1,1142243F,HisToGene
SLPI,0.01625803891900554,SLPI,1142243F,HisToGene
SLC2A10,0.01777141230074427,SLC2A10,1142243F,HisToGene
SULF2,0.07137462432382519,SULF2,1142243F,HisToGene
PREX1,0.06059939322860457,PREX1,1142243F,HisToGene
ZNFX1,0.06476733500343047,ZNFX1,1142243F,HisToGene
PFDN4,0.06102404969023847,PFDN4,1142243F,HisToGene
BMP7,0.03221416523956168,BMP7,1142243F,HisToGene
LAMA5,0.027466747613210843,LAMA5,1142243F,HisToGene
EEF1A2,0.0017000838139559664,EEF1A2,1142243F,HisToGene
